,name,exchg,ticker,industry,date_added,weight
0,3M,NYSE,MMM,Conglomerate,1976-08-09,2.88
1,American Express,NYSE,AXP,Financial services,1982-08-30,3.56
2,Amgen,NASDAQ,AMGN,Biopharmaceutical,2020-08-31,4.88
3,Apple,NASDAQ,AAPL,Information technology,2015-03-19,3.15
4,Boeing,NYSE,BA,Aerospace and defense,1987-03-12,3.4
5,Caterpillar,NYSE,CAT,Construction and Mining,1991-05-06,4.19
6,Chevron,NYSE,CVX,Petroleum industry,2008-02-19,3.05
7,Cisco,NASDAQ,CSCO,Information technology,2009-06-08,1.0
8,Coca-Cola,NYSE,KO,Drink industry,1987-03-12,1.28
9,Disney,NYSE,DIS,Broadcasting and entertainment,1991-05-06,2.32
10,Dow,NYSE,DOW,Chemical industry,2019-04-02,1.32
11,Goldman Sachs,NYSE,GS,Financial services,2013-09-20,6.22
12,Home Depot,NYSE,HD,Home Improvement,1999-11-01,5.9
13,Honeywell,NASDAQ,HON,Conglomerate,2020-08-31,3.71
14,IBM,NYSE,IBM,Information technology,1979-06-29,2.69
15,Intel,NASDAQ,INTC,Semiconductor industry,1999-11-01,0.91
16,Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,1997-03-17,3.6
17,JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06,2.45
18,McDonald's,NYSE,MCD,Food industry,1985-10-30,4.89
19,Merck,NYSE,MRK,Pharmaceutical industry,1979-06-29,1.65
20,Microsoft,NASDAQ,MSFT,Information technology,1999-11-01,5.43
21,Nike,NYSE,NKE,Clothing industry,2013-09-20,2.48
22,Procter & Gamble,NYSE,PG,Fast-moving consumer goods,1932-05-26,3.15
23,Salesforce,NYSE,CRM,Information technology,2020-08-31,3.38
24,Travelers,NYSE,TRV,Insurance,2009-06-08,3.38
25,UnitedHealth,NYSE,UNH,Managed health care,2012-09-24,10.14
26,Verizon,NYSE,VZ,Telecommunications industry,2004-04-08,0.97
27,Visa,NYSE,V,Financial services,2013-09-20,4.06
28,Walgreens Boots Alliance,NASDAQ,WBA,Retailing,2018-06-26,0.88
29,Walmart,NYSE,WMT,Retailing,1997-03-17,3.04
